user,text,retweet_count,followers_count
2tolu,"I met this pleasant woman today @AishaYesufu. A woman leader, Freedom fighter. The 5 minutes with her was so produc… https://t.co/i3SqoGtl3g",1,1872
Sambumbu,"@mrmacaronii Indeed ,very powerful message here @mrmacaronii .The power is in  the youth generation.Please vote wis… https://t.co/aoAVbQtHWs",1,1162
SaharaReporters,"#MySARSStory: Death At A Demonstration | Sahara Reporters https://t.co/rZvWeKuCfo
#EndSARSMemorial #EndSARS https://t.co/fQ4dmQCr4e",31,3753144
truthoofficial,@UNWatch • @CNNAfrica @CNN This is how to report the truth! Nothing but the truth. Not the nonsense write up by @UN… https://t.co/VlouGfaQ56,0,156
viczboy16,"Book review https://t.co/tAXw3yQsgT 
#endsars #BlackOwnedBusiness #Apple #WINWIN #thursdayvibes #YUNHO #Lightyear… https://t.co/fDMfSR8hNt",5,346
truthoofficial,@UNWatch •@CNN Here’s how to make an Honest report! Not the Nonsense @UN is doing! https://t.co/2mN72HfONl #UN… https://t.co/rayKPHrTjc,0,156
onomamien,"So, suddenly nobody is talking about how FEMCO loot money during #EndSARS again? All that dragging was actually to… https://t.co/Z5Sxx3AU6E",3,31
NGShineYourEye,"Active Citizens, register #ThisMorning. This will be a powerful discussion about the effects of police brutality fr… https://t.co/efOUEB9IGl",2,2321
SheepleBiafra,"@BlackCarbonn @SaharaReporters Nigeria is a CURSED country with no solution. Nothing will change.
It's better to be… https://t.co/MHeqBXftxD",1,155
PatrickEholor,"Human Rights Activist, Patrick Eholor, Dragged FG. To ECOWAS Community Court For Infringement on His Fundamental Hu… https://t.co/nOwYM7xEXA",0,2
SheepleBiafra,"@KiloYaah @SaharaReporters Nigeria is a CURSED country with no solution. Nothing will change.
It's better to be a t… https://t.co/hDIAIKjjCH",1,155
SheepleBiafra,"Nigeria is a CURSED country with no solution. Nothing will change.
It's better to be a terrorist in the #zoo called… https://t.co/PiCV23nid5",1,155
SheepleBiafra,"@SaharaReporters Nigeria is a CURSED country with no solution. Nothing will change.
It's better to be a terrorist i… https://t.co/oYZTuN8tqA",1,155
muideen15,Congratulations to Adefemi Akinsanya for reward for a good job on #EndSARSMemorial reporting.  I watched this coura… https://t.co/MOaQtSebCl,1,178
donkashking,"Are u guys aware we will be paying #5,500 for @GOtvNg subscription from 1 Nov 2021 instead of d usual #3,600 Max pa… https://t.co/dzquSj5DnO",2,1230
NuraSaniAjah3,#EndSARSMemorial what end sars mean please 😥,0,495
THEHFC11,"This is what he wanted to be president so badly …

. #ShameOnBuhari #EndSARS #EndSARSMemorial #EndPoliceBrutality… https://t.co/8mPOKRkUc5",1,5
AdewaleOjomo,After #EndSARSMemorial what next? Wait till the next cycle 20-10-something and then people speak up (Sorosoke) for clout again?,1,4363
Intergrity56,"A short heart wrenching story. 💔

Cc @anafricandiva 
#EndSARS #EndSARSMemorial https://t.co/dTErc4RjJV",26,26632
TeenAfricaNews,"DJ Switch
She told CNN 38 died
CNN apologized for the lie
She told Oslo Conference 15 died
HumAngle: 8 died
Dr Kemi… https://t.co/LOhswBszXL",5,2943
iam_Chisco1,"Dear Governor jide sanwoolu, @jidesanwoolu YOU AND @MBuhari @HQNigerianArmy  @NigeriaGov HAVE BLOOD IN YOUR HANDS a… https://t.co/bAjRZZo1YZ",1,500
dahcutecreamie,"But truly when are we taking to the streets about the hike in Gas prices, Even Russia 🇷🇺 where they enjoy more than… https://t.co/je7AZhersR",2,600
ActivistNdasadu,@mashanubian Victims of #EndSARSMemorial  was a great history to end brutality of Nigeria police and even the corru… https://t.co/uJ11tzWt7X,1,501
1stnewsng,"#Police nab personnel over alleged extortion of traveller

https://t.co/11nnIeUMcm

#Nigeria #crime #NPF… https://t.co/RyZokBZmTi",1,4476
NiggaB1988,"𝑾𝒉𝒆𝒏 𝒚𝒐𝒖'𝒓𝒆 𝒏𝒐 𝒍𝒐𝒏𝒈𝒆𝒓 𝒂 𝒃𝒆𝒏𝒆𝒇𝒊𝒕 𝒕𝒐 𝒑𝒆𝒐𝒑𝒍𝒆,𝒕𝒉𝒆𝒚'𝒍𝒍 𝒄𝒖𝒕 𝒚𝒐𝒖 𝒐𝒇𝒇 𝒍𝒊𝒌𝒆 𝒚𝒐𝒖 𝒏𝒆𝒗𝒆𝒓 𝒆𝒙𝒊𝒔𝒕𝒆𝒅.𝑹𝒆𝒎𝒆𝒎𝒃𝒆𝒓 𝒕𝒉𝒂𝒕 &amp; 𝒇𝒐𝒄𝒖𝒔 𝒎𝒐𝒓𝒆 𝒐𝒏… https://t.co/BESF7QDSU8",1,155
Donkelvinsque,"...and all those who live and believe in me will never die. Do you believe this?”
John 11:25-26 GNBUK… https://t.co/NLihBg4zJr",1,863
Donkelvinsque,"October 28, 2021
Verse of the Day
Jesus said to her, “I am the resurrection and the life. Those who believe in me w… https://t.co/ugn0jdrl5i",2,863
Gidi_Traffic,"“@zenmagafrica: Such wickedness, anger and rage shown from someone who is meant to protect, save you and keep you o… https://t.co/fOwBORKY18",31,1692583
Ola_Century,Signs of #zombie in uniform @NGPoliceForce #EndPoliceBrutality #EndSARS #EndSARSMemorial #zoopolice https://t.co/KZKvdSfaR0,1,207
IamtheOGee,@EbongDi 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 everything done by meffy deserves this #EndSARSMemorial #EndSARS,1,9606
EzikeNwa,"@Reuters In Africa, Nigeria prices, military and Police kills all the protesters, label them terrorists.

#IPOB is… https://t.co/RXG8kwe5m2",1,990
__theNID,"""GREEN WHITE RED""

Despite the scars, despite the discords, despite the chaos, despite the struggles, despite the l… https://t.co/vJ0KtctAxJ",0,51
swiftrioweb,@Oludhayo @nasjay7 @instablog9ja U no suppose reply am wch offense police won say e commit wey go con reach to use… https://t.co/eT1uuNw93w,1,58
femistorystory,What if in the future we find out that the raunchy videos from last week starring Janemena and Tiwa Savage was a pl… https://t.co/jtqv3aI0qS,0,183
IsahJakub,"Dear Twitter fam, 

I want to let you know that I have resume for retweet. October-20-2020 we Can't forget!

#EndSARS 
#EndSARSMemorial",2,398
ChimaSteven2,"E DON RED :
Peter Obi, Abaribe chased out From  Main market,Onitsha 
The people stop them from campaigning for PDP… https://t.co/5ipryMB7id",5,105
Ridwanullahii,"My message to the COP, Lagos State on the illegal ban of Protest in Lagos State as regard the #EndSARSMemorial on O… https://t.co/3xjrLzNB9g",13,9961
noo_nwa,"I hope you know UGM will be outside on the 6th of next month.

Last week was #EndSARSMemorial

If you die another m… https://t.co/l9QITcUtST",0,2795
calebkpopy,"Nah when you start , to dé use high quality phone ; you go know say you fine 😥☹️🤤 @yabaleftonline @GOtvNg  @DStvNg… https://t.co/mnUAnoC2PX",0,0
noo_nwa,"@OgbajiIfeanyi Sang the national anthem with tears in their voices. 
#EndSARSMemorial",0,2795
great__nas,"I remember asking a car dealer friend of mine the price of a second hand car.
He said ""oga Nurse go and save some m… https://t.co/ZpK1E53ckY",1,2932
saratu,"So glad @EditiEffiong wrote something about Oct 20, the days after, and his covering of the Lagos panels.… https://t.co/6QalOvc6Xb",14,15987
SeaRaid12,"@FELIXPARKEROWO1 @facebonus1 @MaziNnamdiKanu Lesson to #EndSARS protesters, #EndSARSMemorial etc

Deal with tyrants… https://t.co/h0aykYprSV",1,163
EzePete95851075,"When they aren't ready to listen 👂..

Let's make them understand.. @MaziNnamdiKanu you're a Victor ..
I'm with you… https://t.co/JZ0uiJVYOp",1,248
EzePete95851075,"It's time for the real game 😂😂😂😂
They must concur by force 

#Nigeria #EndSARSMemorial #FreeNnamdiKanuNow… https://t.co/Yy6Z67iYqU",1,248
EzePete95851075,Like I don't understand.... Guys dey get brain 🧠🧠🧠🧠 @Ipob_supporters @Tasinnewstv @MaziNnamdiKanu I dey gbadun your… https://t.co/KIj6W2duf5,0,248
EbiTorl,"If only Nigerian police will let young people be, this would be on the road now!!! @Hertz NICE👌#EndSARSMemorial https://t.co/YBFFLLh5dr",0,977
Prof_KennyJames,"I look forward to writing more reports with @HumAngle_ 

Kind regards
#EndSARSMemorial
#EndSARS",5,391
Prof_KennyJames,"In October, I also did a one year assessment on the persistent cases of brutalities connected to the… https://t.co/0f5HAjtD1A",4,391
Prof_KennyJames,"#EndSARSMemorial thread

Joining the @HumAngle_ team this year as a conflict reporter, my boss @akinwaleganglin ass… https://t.co/OpUqI2F5Wx",17,391
OnyeNzewithSwag,"....that we are all broke in this country and most of our  “we are outside geng” are not an exception.
My point; Se… https://t.co/EAsUvCoJfK",1,43
da_insulin,"Make Government fix roads ooo or else, nobody son go find you
#EndSARSMemorial #Nigeria #EndPoliceBrutality https://t.co/4e2oJUAspN",1,11
IamTeebiz,"E Naira - Baseless and unnecessary..
The ispiration around the logo is shallow and shambolic.. 
#pointless 
#eNaira… https://t.co/cQ8i4wEIr3",1,241
OlamideRaimi,"@BudgITng @EiENigeria @thecableng https://t.co/aw9J7fvf4B

This Video is to Mark the One Year Remembrance of Lekki… https://t.co/d6O0iH94Fg",1,933
OlamideRaimi,"@segalink https://t.co/aw9J7fvf4B

This Video is to Mark the One Year Remembrance of Lekki Toll Gate Massacre and i… https://t.co/rAJZenmnqI",1,933
OlamideRaimi,"@yabaleftonline https://t.co/aw9J7fvf4B

This Video is to Mark the One Year Remembrance of Lekki Toll Gate Massacre… https://t.co/iZXrykaMx8",4,933
OlamideRaimi,"@AishaYesufu @chukaRafel https://t.co/aw9J7fvf4B

This Video is to Mark the One Year Remembrance of Lekki Toll Gate… https://t.co/c7uDZiGGGQ",1,933
Bankole_Bankiss,Hi everyone…(mostly the millionaires and billionaires) Kindly go and read @Cross BBN house mate father story in nam… https://t.co/mbLMjr7ama,0,53
HumAngle_,"Gleaning through press reports published in the past year, HumAngle identified at least six named people believed t… https://t.co/FOmYOUe9c6",8,42413
oluwaloninyo,"Every Nigerian ought to be angry enough, to stand up now.

Watch full video here:👇🏿
https://t.co/AjZld497ja… https://t.co/3lSCCOAGu1",145,77239
TalkoonNews,A man reportedly attempted to jump down from a telecommunication mast at Iyana-Ipaja area of Lagos State on Tuesday… https://t.co/VsvFoSQWrV,1,3227
TalkoonNews,"Big Brother Naija star, Cross had quite a crazy moment on Snapchat today as he mistakenly posted his full nude vide… https://t.co/pQGxHe6B9s",0,3227
tripdarlyn,"@Le_Stylo @Aliyujari @channelstv @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria.… https://t.co/90F5aV27cS",1,109
tripdarlyn,"@Le_Stylo @Aliyujari @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
TheFilmBwoy,I am in an eatery and watching TV and this man standing before me is calling the agitating youth of the… https://t.co/O22oRFcUsB,1,4367
NiggaB1988,Soon gas will be added to marriage list in Nigeria. You will just hear 100kg for the mother and 75kg for the father… https://t.co/nKyx5bQLom,2,155
setemiojo,"shout out to the @ISWISPodcast on #EndSARS #EndSARSMemorial 

Awesome content. @fkabudu @Jollz and the team.",3,1781
viczboy16,"Best Evidence #bookreview  https://t.co/N4GiKmrx88 #books via @TwBookClub

#EDHOGeliyor #RocaAFazenda #Temblor… https://t.co/bbjeEZKgpw",2,346
EgboDaniel1,"Who provoke you today? It’s tiring how we think in Nigeria. 

I remember @YarKafanchan talk during the… https://t.co/iV0s34TJ3Z",2,2822
HisPremiumKwiin,Whoever knew that over bleached red oil can catch fire😔...I almost burnt down my lodge some mins ago when I was pre… https://t.co/8wbBIuZyFv,0,0
AishaYesufu,"#AfterTheTearsWhatNext?
Until you give those in government the incentive not to treat you badly they won't stop tre… https://t.co/4PD5eXeiGq",131,906509
SamuraiEX_,#EndSARSMemorial for one day and close shop. Sorosoke gen &gt;&gt;&gt;&gt;&gt;&gt;,0,293
royaltyify,@Austin75047722 @Isioma15282917 My able barrister @InibeheEffiong spoke about this on his interviews during the #EndSARSMemorial,0,66
TDOSProperties,"TO LET

STANDARD SHOP FOR RENT ON ISAAC JOHN STREET IKEJA GRA.

Rent. 4m
S.C ...500k

Call. 08022292982

#ikejagra… https://t.co/24317LCmio",0,390
nezzylayo,"Stay tune lovely people 🎶⚡️ 

@wizkidayo @Olamide @DangbanaRep_ @Zlatan_Ibile @davido @DONJAZZY @DPRINCEMAVIN… https://t.co/ui1fn4wivc",0,108
Rolex7Michael,"27th October, 2021
#EndSARS #KeepitOn #EndSARSMemorial

Good morning Governor @jidesanwoolu, when will this guy be… https://t.co/5WyNaIHHi7",2,4084
Voiceairmedia2,#EndSARSMemorial: Security Agent Narrates How He Was Stabbed By Protester https://t.co/XPZk2XSlJ0,1,245
NiggaB1988,"Some of us are dating best partners,but we can't see the best in them because we keep on comparing them with other… https://t.co/5Km1sAZvzk",1,155
ido9ja,Nigeria artist Simi in a video she shared was bushing after her husband Adekunle Goldmade it possible for her to sp… https://t.co/CclmTKToBa,0,82
WithinNigeria,"#EndSARSMemorial: Stabbed security agent narrates ordeal
READ at 👉 https://t.co/t856QpueP9",0,20264
enerenna,@rotimark You said the #EndSARSMemorial should look for a job and stop thinking their ending will be like DJ Switch… https://t.co/36ocVTcVID,0,41
EruditeMedia,#EndSARSMemorial: Stabbed security agent narrates ordeal https://t.co/DgAmMHygTm,0,172
Donkelvinsque,"October 27, 2021
Verse of the Day
“Listen! I am sending you out just like sheep to a pack of wolves. You must be as… https://t.co/jjRx5eA5am",0,863
9ja_breed,#EndSARSMemorial: Stabbed security agent narrates ordeal https://t.co/vm0Ea28pok #News,0,10031
OurnaijanewsC,#EndSARSMemorial: Stabbed security agent narrates ordeal https://t.co/2SIxloO8cJ,0,303
Teni_tinero,UBA calling                                                                    Me: Ehn ehn wetin do my money. 😂😂😂😂… https://t.co/gIrsmN8UW4,1,444
Ikenna_09,"@kenantoprak63 @MrOdanz @Jakepor21 #EndSARS
#BuhariResign
#LekkiMassacre2020
#EndSARSMemorial
Don't give loan.",1,1303
airwaterlandsun,"The biggest achievement of a spiritual black man is a family, beautiful kids car(s) and house(s) and business yet t… https://t.co/rjI6u0JFlz",0,8
dondee_don,@loreslanguage It is and it isn't. But seems to be getting worse each day. At one and the same time getting more co… https://t.co/STv61REYRt,0,3810
tripdarlyn,@FragGroup @AJStream @amnesty @channelstv @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A… https://t.co/r43UiDarqZ,1,109
Luv70927400,@Ezepatricktwit1 @BiafranTweets Youths that they re treating  well? Look at how they treated same youth  in this la… https://t.co/ftXWrSlx4W,0,402
OlamideRaimi,"@AishaYesufu https://t.co/aw9J7fvf4B

This Video is to Mark the One Year Remembrance of Lekki Toll Gate Massacre an… https://t.co/4eAXKIblDb",1,933
debchinskiz,"Checkout the full video on my YouTube channel with the link below  👇🏽
https://t.co/1rauJR7CL3
@ddlovato… https://t.co/AQjQEVgx2H",2,1062
BeneSebag,It speaks for itself! #endsars #EndPoliceBrutality #endsarsmemorial  🙏🇳🇬🤍 https://t.co/DPH2uH0G5e,2,2679
Astro_nwa_mama,20-10-20 these heroes lost their lives fighting for our cause(a good cause). We shall not forget them… https://t.co/tosO16UHIY,4,8
TheRealBlackXy,"Another protest is brewing. Please encourage it.
#EndSARSMemorial #EndSARS #EnoughIsEnough #EndBadGovernance… https://t.co/hUh1z0s3DI",2,49
Netflix_2017,"@EllaOfLagos01 @coolfm n @dominos wan dy whine me🙄 me wey Caesar sef dy avoid, e no wan mak wetin belong to ham ent… https://t.co/mS9JqNcdwK",0,40
BiafraChichi,@GazetteNGR Garba Shehu bandits are terrorists and Fulani herders are terrorists which you people in Buhari governm… https://t.co/Hm91wbHuhq,0,32
Amandianaeze01,"God might have wanted to help 🇳🇬 just that the ⛪ plenty, He fit no know which one to come from.

#ThinkingAloud… https://t.co/TgVZmmts0x",0,1711
lazy_studio,If the president of my country past and present are my father as they have always claimed in their speech then my f… https://t.co/vaLomrtCGw,2,1098
9jatrendzblog,VIDEO: How I was assaulted by security operatives during #EndSARSMemorial —E-hailing Driver https://t.co/IG6tBfFEAd,0,184
Segun_Odunayo,"We found the ‘Uber Guy’ from the #EndSARSMemorial protest in Lekki and he had a lot to say. 

 https://t.co/IbMa9Oiegs",24,3557
adedoyinMii,Oyo state has had to suffer losses each time they show support to the Nigerian youth or do something worth applaudi… https://t.co/iuyAvT9k51,3,1084
primegyesie,"IGP please come and see what Yaa Asantewaa dey hold for public oo😂😂😂💔💔
I Dey #FreeShattaWale #Shattawale… https://t.co/287PN9SPlE",1,551
SirMcAwesome247,@SaharaReporters Yeye @PoliceNG can be showing mumu force in unnecessary places sha. They fooled themselves ahead o… https://t.co/trgEpa8vug,0,91
NaijaNewsWire,VIDEO: How I was assaulted by security operatives during #EndSARSMemorial —E-hailing Driver https://t.co/khxMEuE5MO,0,1191
benakintunde1,"This country has never been this divided !

#endbadgovernance #EndSarsNow 
#EndSARSMemorial https://t.co/S0d7OrY3Fb",0,97
MobilePunch,"How I Was Assaulted By Security Operatives During #EndSARSMemorial -- E-hailing Driver

Continue watching on our Yo… https://t.co/PUtvcXeuNa",30,4376720
kingbeatent,@DStvNg and @GOtvNg purposely short down their service for last night and damage people’s decoder and they demanded… https://t.co/8dYk3MYUsJ,0,16
Dracos_2_Brazy,It is true that a lot of people from last year are still locked up…Buhari’s tyranny should be ranked with the likes… https://t.co/W8EIuw3L4w,5,343
nifemioosa444,"Watch out !!!!!!! 🔥🔥❤️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨for Table4two musical officially drop very soon 🔜 

Grammy Anya Taylor-joy dembele… https://t.co/QQdAs1lJbj",1,155
